headword	collocation
ability	cognitive ability
abstract	abstract concept
abuse	sexual abuse
academy	(in) academic circles
academy	academic achievement
academy	academic career
academy	academic community
academy	academic debate
academy	academic discipline
academy	academic discourse
academy	academic institution
academy	academic journal
academy	academic life
academy	academic performance
academy	academic research
academy	academic skills
academy	academic study
academy	academic success
academy	academic work
academy	academic world
academy	academic writing
academy	academic year
accept	accept responsibility
accept	acceptable behaviour
accept	socially acceptable
accept	widespread acceptance
accept	(be) commonly accepted
accept	(be) generally accepted
accept	(be) universally accepted
accept	(be) widely accepted
access	allow access (to)
access	deny access (to)
access	direct access
access	easy access
access	electronic access
access	equal access
access	free access
access	gain access (to)
access	give access (to)
access	have access (to)
access	internet access
access	limited access
access	online access
access	open access
access	provide access (to)
access	public access
access	ready access
access	unlimited access
access	easily accessible
access	readily accessible
account	brief account
account	comprehensive account
account	historical account
accurate	great accuracy
accurate	accurate assessment
accurate	accurate description
accurate	accurate information
accurate	accurate measurement
accurate	accurate picture
accurate	accurate record
achieve	achieve (a) goal
achieve	achieve (an) objective
achieve	achieve (an) outcome
acquire	acquire knowledge
acquire	newly acquired
act	sexual act
act	appropriate action
act	collective action
act	legal action
act	military action
act	positive action
act	active involvement
act	active participant
act	active participation
act	active role
act	(be) actively involved
act	political activism
act	commercial activity
act	cultural activity
act	economic activity
act	engage in (an) activity
act	human activity
act	learning activity
act	physical activity
act	political activity
act	professional activity
act	related activity
act	social activity
act	undertake (an) activity
acute	particularly acute
acute	acutely aware
add	add information
additional	additional cost
additional	additional information
additional	additional problem
additional	additional resources
additional	additional support
address	address (an) issue
adjust	structural adjustment
adjust	make adjustments
administrate	public administration
administrate	administrative practices
adopt	adopt (a) procedure
adopt	adopt (an) approach
adopt	(be) widely adopted
advance	advanced economy
advance	advanced technology
advance	technological advances
advantage	major advantage
adverse	adverse effect
adverse	adverse reaction
adverse	adversely affect
affair	economic affairs
affair	financial affairs
affair	internal affairs
affect	affect (the) development (of)
affect	affect (the) outcome
affect	directly affect
affect	severely affect
affect	significantly affect
affect	(be) directly affected
agency	federal agency
agency	regulatory agency
agenda	political agenda
agenda	set (the) agenda
agree	generally agree
agree	strongly agree
agree	broad agreement
agree	general agreement
agree	international agreement
agree	reach (an) agreement
agree	strongly disagree
aim	overall aim
aim	primary aim
allocate	allocate resources
ally	(be) closely allied (to
ally	with)
almost	almost identical
alternative	alternative approach
alternative	alternative explanation
alternative	alternative form
alternative	alternative interpretion
alternative	alternative means
alternative	alternative method
alternative	alternative model
alternative	alternative solution
alternative	alternative source
alternative	alternative strategy
alternative	alternative view
alternative	alternative way
alternative	provide (an) alternative
amount	(a) considerable amount (of)
amount	(a) huge amount (of)
amount	(a) significant amount (of)
amount	(a) substantial amount (of)
amount	(a) vast amount (of)
amount	(an) enormous amount (of)
ample	ample evidence
analyse	careful analysis
analyse	comparative analysis
analyse	conduct (an) analysis
analyse	critical analysis
analyse	detailed analysis
analyse	economic analysis
analyse	final analysis
analyse	full analysis
analyse	further analysis
analyse	historical analysis
analyse	qualitative analysis
analyse	quantitative analysis
analyse	statistical analysis
analyse	subsequent analysis
analyse	systematic analysis
analyse	textual analysis
analyse	thematic analysis
analyse	theoretical analysis
analyse	use (the) analysis
analyse	analytical approach
analyse	analytical tool
ancestor	common ancestor
anecdotal	anecdotal evidence
annual	annual conference
annual	annual meeting
annual	annual rate
annual	annual report
annual	annual review
answer	final answer
apparent	become apparent
apparent	immediately apparent
apparent	particularly apparent
appearance	physical appearance
apply	apply (a) method
apply	apply (the) theory
apply	apply equally
approach	common approach
approach	comprehensive approach
approach	critical approach
approach	develop (an) approach
approach	flexible approach
approach	general approach
approach	holistic approach
approach	integrated approach
approach	logical approach
approach	methodological approach
approach	qualitative approach
approach	quantitative approach
approach	similar approach
approach	standard approach
approach	systematic approach
approach	take (an) approach
approach	theoretical approach
approach	traditional approach
approach	use (an) approach
appropriate	appropriate behaviour
appropriate	appropriate conditions
appropriate	appropriate data
appropriate	appropriate form
appropriate	appropriate language
appropriate	appropriate level
appropriate	appropriate point
appropriate	appropriate response
appropriate	appropriate skills
appropriate	appropriate treatment
appropriate	appropriate way
appropriate	consider appropriate
appropriate	deem appropriate
appropriate	particularly appropriate
appropriate	seem appropriate
appropriate	respond appropriately
area	complex area
area	core area
area	cover (an) area
area	geographic(al) area
area	identify (an) area
area	key area
area	local area
area	main area
area	major area
area	metropolitan area
area	particular area
area	problem area
area	related area
area	rural area
area	specific area
area	subject area
area	urban area
area	vast area
area	whole area
area	wide area
arena	political arena
argument	compelling argument
argument	counter argument
argument	develop (an) argument
argument	general argument
argument	logical argument
argument	main argument
argument	make (an) argument
argument	present (an) argument
argument	similar argument
argument	support (an) argument
argument	valid argument
armed	armed conflict
arrangement	institutional arrangement
arrangement	make arrangements
array	(a) vast array (of)
array	(a) wide array (of)
article	publish (an) article
artificial	artificial intelligence
aspect	certain aspect
aspect	consider (an) aspect
aspect	cultural aspect
aspect	focus on (an) aspect
aspect	fundamental aspect
aspect	general aspect
aspect	key aspect
aspect	negative aspect
aspect	particular aspect
aspect	positive aspect
aspect	related aspect
aspect	social aspect
aspect	specific aspect
aspect	technical aspect
aspect	various aspects
assess	assess (the) impact (of)
assess	assessment process
assess	make (an) assessment
assess	risk assessment
assign	(be) randomly assigned (to)
assist	financial assistance
assist	medical assistance
assist	provide assistance
assist	technical assistance
associate	associated factors
associate	(be) closely associated (with)
associate	(be) commonly associated (with)
associate	(be) positively associated (with)
associate	(be) strongly associated (with)
assume	assume (the) role (of)
assume	assume responsibility
assume	(be) generally assumed
assume	basic assumption
assume	common assumption
assume	fundamental assumption
assume	make (an) assumption
assume	underlying assumption
assume	certain assumptions
atom	atomic energy
attempt	deliberate attempt
attend	attend (a) conference
attention	careful attention
attention	considerable attention
attention	critical attention
attention	draw attention (to)
attention	focus attention (on)
attitude	change (an) attitude
attitude	negative attitude
attitude	positive attitude
attitude	changing attitudes
attitude	cultural attitudes
attitude	public attitudes
attitude	social attitudes
audience	target audience
audience	wider audience
author	first author
author	original author
authority	central authority
authority	exercise authority
authority	local authority
authority	political authority
authority	public authority
autonomy	greater autonomy
autonomy	relative autonomy
available	available data
available	available evidence
available	available information
available	available resources
available	become available
available	currently available
available	freely available
available	make available
available	publicly available
available	readily available
available	widely available
average	average score
average	national average
aware	become aware
aware	fully aware
aware	increasingly aware
aware	keenly aware
aware	make aware
aware	well aware
aware	greater awareness
aware	growing awareness
aware	increase awareness
aware	increased awareness
aware	increasing awareness
aware	public awareness
aware	raise awareness
background	background knowledge
background	cultural background
background	diverse background
background	historical background
background	social background
base	(be) largely based (on)
base	basic component
base	basic concept
base	basic element
base	basic function
base	basic information
base	basic premise
base	basic principle
base	basic research
base	basic structure
base	basic technique
base	legal basis
base	theoretical basis
bear	bear resemblance (to)
become	become (a) source (of)
become	become (the) focus (of)
become	become blurred
become	become established
become	become evident
become	become independent
become	become involved (with/in)
become	become obvious
become	become visible
become	become widespread
begin	begin (a) process
behave	behave differently
behave	human behaviour
behave	individual behaviour
behave	sexual behaviour
behave	social behaviour
belief	religious belief
belief	widespread belief
belief	(be) widely believed
benefit	beneficial effect
benefit	provide (a) benefit
benefit	economic benefits
benefit	potential benefits
best	(be) best described (as
best	in terms of)
binary	binary opposition
binary	binary system
biological	biological evolution
biological	biological science
biological	biological sex
body	international body
body	professional body
bond	strong bond
boundary	clear boundary
boundary	cultural boundary
boundary	national boundary
brief	brief description
brief	brief discussion
brief	brief history
brief	brief introduction
brief	brief overview
brief	brief period
brief	brief review
brief	brief summary
brief	brief time
brief	briefly describe
brief	briefly discuss
broad	(a) broad range (of)
broad	broad category
broad	broad definition
broad	broad spectrum
broad	broader context
broad	(be) broadly defined
broad	broadly similar
business	business sector
business	business transaction
call	(be) commonly called
capacity	limited capacity
capitalism	global capitalism
capitalism	industrial capitalism
capitalism	capitalist country
capitalism	capitalist economy
capitalism	capitalist society
capitalism	capitalist system
capitalism	capitalist world
care	primary care
care	provide care
care	careful consideration
care	careful thought
care	(be) carefully controlled
care	(be) carefully selected
career	career development
career	career opportunity
