rank	word	pos	coca_acad_freq	acad_ratio
1	study	n	137208	2.52
2	group	n	122011	1.72
3	system	n	110176	1.79
4	social	j	99744	2.39
5	provide	v	93212	2.01
6	however	r	90906	2.1
7	research	n	83325	2.3
8	level	n	78162	2.07
9	result	n	72083	2.05
10	include	v	70098	1.69
11	important	j	67258	1.51
12	process	n	66382	2.01
13	use	n	64527	2.15
14	development	n	63509	2.23
15	data	n	63480	2.62
16	information	n	61931	1.58
17	effect	n	60078	2.04
18	change	n	59284	1.69
19	table	n	59158	1.54
20	policy	n	58987	1.77
21	university	n	57835	1.62
22	model	n	57310	2.2
23	experience	n	56541	1.86
24	activity	n	55151	2.28
25	human	j	54672	1.74
26	history	n	53474	1.5
27	develop	v	52543	2.02
28	suggest	v	52412	1.84
29	economic	j	52368	1.89
30	low	j	51858	1.54
31	relationship	n	50744	1.93
32	both	r	49946	1.53
33	value	n	49900	1.97
34	require	v	49554	1.8
35	role	n	49426	1.81
36	difference	n	49081	1.93
37	analysis	n	48500	2.85
38	practice	n	47915	2.06
39	society	n	47060	1.89
40	thus	r	46287	2.69
41	control	n	45690	1.64
42	form	n	45275	1.9
43	report	v	44666	1.64
44	rate	n	44493	1.65
45	significant	j	44415	2.44
46	figure	n	44084	1.92
47	factor	n	43871	2.43
48	interest	n	43498	1.51
49	culture	n	42561	2.06
50	need	n	42193	1.82
51	base	v	42082	1.8
52	population	n	40902	2.08
53	international	j	40746	1.61
54	technology	n	40104	1.84
55	individual	n	39359	2.32
56	type	n	38893	1.85
57	describe	v	38500	1.75
58	indicate	v	38022	2.34
59	image	n	38020	1.7
60	subject	n	37608	2.02
61	science	n	37253	1.92
62	material	n	37206	1.97
63	produce	v	37198	1.65
64	condition	n	36933	1.88
65	identify	v	36820	2.22
66	knowledge	n	36633	2.36
67	support	n	36597	1.7
68	performance	n	36344	1.96
69	project	n	36260	1.51
70	response	n	36231	2.08
71	approach	n	36092	2.14
72	support	v	36072	1.52
73	period	n	35597	1.8
74	organization	n	35398	1.7
75	increase	v	35289	1.89
76	environmental	j	35191	2.26
77	source	n	34883	1.7
78	nature	n	34413	1.91
79	cultural	j	34239	2.46
80	resource	n	33989	2.07
81	century	n	33736	1.68
82	strategy	n	33515	2.19
83	theory	n	33143	2.36
84	product	n	33132	1.53
85	method	n	33105	2.49
86	goal	n	33049	1.79
87	likely	j	32958	1.68
88	note	v	32829	1.87
89	represent	v	32705	1.81
90	general	j	31754	1.66
91	article	n	31513	1.85
92	similar	j	31385	1.9
93	environment	n	31116	2.08
94	language	n	31095	1.79
95	determine	v	31067	1.95
96	structure	n	30887	2.31
97	section	n	30856	2.05
98	common	j	30755	1.78
99	occur	v	30702	1.91
100	current	j	30626	1.67
101	available	j	30610	1.56
102	present	v	30357	1.97
103	term	n	29927	1.61
104	reduce	v	29853	1.69
105	measure	n	29534	2.16
106	involve	v	29330	1.6
107	movement	n	29315	1.68
108	specific	j	28840	2.22
109	focus	v	28692	1.57
110	region	n	28595	1.82
111	relate	v	28592	2.35
112	individual	j	28495	2.19
113	quality	n	28155	1.75
114	establish	v	27926	2.0
115	author	n	27714	1.51
116	seek	v	27629	1.53
117	compare	v	27616	1.86
118	growth	n	27328	1.75
119	natural	j	27263	1.6
120	various	j	27132	1.9
121	standard	n	26890	1.75
122	example	n	26843	1.84
123	management	n	26648	1.91
124	scale	n	26610	2.5
125	argue	v	26358	1.68
126	degree	n	26200	1.68
127	design	n	26112	1.73
128	concern	n	25937	1.52
129	state	v	25860	1.74
130	therefore	r	25808	2.36
131	examine	v	25731	2.32
132	pattern	n	25705	2.07
133	researcher	n	25445	2.34
134	task	n	25244	2.09
135	traditional	j	25145	1.88
136	finding	n	24873	2.8
137	positive	j	24803	2.03
138	central	j	24774	1.53
139	act	n	24769	1.58
140	impact	n	24599	1.79
141	reflect	v	24309	1.94
142	recognize	v	24165	1.56
143	context	n	24121	2.67
144	relation	n	23867	2.13
145	maintain	v	23831	1.79
146	African	j	23820	2.21
147	concept	n	23812	2.31
148	discussion	n	23781	1.94
149	associate	v	23565	2.49
150	design	v	23346	1.65
151	particularly	r	23286	1.51
152	purpose	n	23214	1.88
153	address	v	23176	1.87
154	define	v	23125	2.22
155	particular	j	23040	1.78
156	benefit	n	23018	1.52
157	survey	n	22873	2.21
158	effective	j	22853	2.07
159	apply	v	22641	1.73
160	contain	v	22632	1.77
161	understanding	n	22450	2.3
162	production	n	22378	1.73
163	form	v	22341	1.63
164	association	n	22245	1.64
165	reveal	v	22238	1.68
166	range	n	22219	1.74
167	affect	v	22206	1.73
168	attitude	n	22142	2.05
169	status	n	22138	2.11
170	necessary	j	22087	1.76
171	function	n	21755	2.54
172	indeed	r	21728	1.54
173	present	j	21652	2.33
174	global	j	21589	1.84
175	conflict	n	21511	2.03
176	achieve	v	21493	1.99
177	conduct	v	21428	1.98
178	critical	j	21381	1.93
179	perform	v	21379	1.66
180	discuss	v	21017	1.53
181	exist	v	20901	1.73
182	improve	v	20714	1.65
183	observe	v	20645	2.2
184	demonstrate	v	20624	2.3
185	unit	n	20604	1.63
186	total	j	20559	1.69
187	modern	j	20470	1.72
188	literature	n	20400	2.52
189	result	v	20138	2.21
190	experience	v	20056	1.89
191	principle	n	20005	2.18
192	element	n	19799	1.95
193	challenge	n	19765	1.53
194	control	v	19621	1.53
195	historical	j	19615	2.34
196	aspect	n	19409	2.16
197	perspective	n	19185	2.15
198	basic	j	19145	1.81
199	measure	v	19093	2.16
200	tradition	n	19091	1.93
201	belief	n	19073	2.14
202	western	j	19006	1.67
203	procedure	n	18907	2.12
204	test	v	18883	1.58
